Timestamp,ObjectName,ObjectState,Label,Aux Message,AOI_Origin,AOI_Width,AOI_Height,EyeTracker-x,EyeTracker-y,obj_x,obj_y
1742552852303,,,,Game Starts,"(0.0, 0.0)",0,0,0.0,0.0,0.0,0.0
1742552853818,,,,Init Trial,"(0.0, 0.0)",0,0,862.0,445.1,0.0,0.0
1742552853818,PoisonousMushroom,Appear,Distractor,,"(654.8, 225.8)",271,297,862.0,445.1,651.5,191.7
1742552854467,PoisonousMushroom,Disappear,Distractor,,"(654.8, 225.8)",271,297,634.0,238.8,651.5,191.7
1742552854984,,,,End Trial,"(0.0, 0.0)",0,0,875.9,192.0,0.0,0.0
1742552854984,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,875.9,192.0,0.0,0.0
1742552856001,,,,Init Trial,"(0.0, 0.0)",0,0,752.0,197.0,0.0,0.0
1742552856002,Mushroom,Appear,Distractor,,"(1240.5, 223.7)",491,364,752.0,197.0,1266.9,123.3
1742552856317,Mouse Click,Incorrect,Distractor clicked,,"(990.0, 184.0)",0,0,1279.3,188.7,990.0,184.0
1742552856651,Mushroom,Disappear,Distractor,,"(1240.5, 223.7)",491,364,1255.9,202.1,1266.9,123.3
1742552857168,,,,End Trial,"(0.0, 0.0)",0,0,1270.1,900.0,0.0,0.0
1742552858186,,,,Init Trial,"(0.0, 0.0)",0,0,1034.9,314.2,0.0,0.0
1742552858186,PoisonousMushroom,Appear,Distractor,,"(1251.3, 224.3)",369,304,1034.9,314.2,1267.3,189.5
1742552858834,PoisonousMushroom,Disappear,Distractor,,"(1251.3, 224.3)",369,304,1289.1,210.9,1267.3,189.5
1742552859333,,,,End Trial,"(0.0, 0.0)",0,0,958.3,384.5,0.0,0.0
1742552859334,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,958.3,384.5,0.0,0.0
1742552860349,,,,Init Trial,"(0.0, 0.0)",0,0,937.5,361.1,0.0,0.0
1742552860349,PesticideMushroom,Appear,Distractor,,"(1255.5, 224.8)",276,261,937.5,361.1,1262.9,135.8
1742552861002,PesticideMushroom,Disappear,Distractor,,"(1255.5, 224.8)",276,261,1296.7,199.0,1262.9,135.8
1742552861518,,,,End Trial,"(0.0, 0.0)",0,0,1778.0,884.2,0.0,0.0
1742552861518,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,1778.0,884.2,0.0,0.0
1742552862534,,,,Init Trial,"(0.0, 0.0)",0,0,858.0,200.1,0.0,0.0
1742552862535,Mushroom,Appear,Target,,"(664.6, 208.5)",265,304,858.0,200.1,651.4,196.4
1742552863085,Mouse Click,Correct,Target clicked,,"(990.0, 184.0)",0,0,670.5,186.8,990.0,184.0
1742552863201,Mushroom,Disappear,Target,,"(664.6, 208.5)",265,304,671.8,190.5,651.4,196.4
1742552868817,Mouse Click,Correct,Target clicked,,"(1269.0, 699.0)",0,0,1320.9,217.8,1269.0,699.0
1742552869018,Mushroom,Disappear,Target,,"(1286.9, 206.6)",358,311,1305.2,209.5,1267.4,194.3
1742552869535,,,,End Trial,"(0.0, 0.0)",0,0,1284.5,203.5,0.0,0.0
1742552871718,,,,End Trial,"(0.0, 0.0)",0,0,651.4,184.3,0.0,0.0
1742552874901,,,,Init Trial,"(0.0, 0.0)",0,0,1244.1,273.8,0.0,0.0
1742552874902,Mushroom,Appear,Target,,"(1286.9, 206.6)",358,311,1244.1,273.8,1267.4,194.3
1742552875352,Mouse Click,Correct,Target clicked,,"(1269.0, 699.0)",0,0,1303.1,211.4,1269.0,699.0
1742552876051,,,,End Trial,"(0.0, 0.0)",0,0,1293.2,219.6,0.0,0.0
1742552877068,,,,Init Trial,"(0.0, 0.0)",0,0,772.8,274.1,0.0,0.0
1742552877068,Mushroom,Appear,Target,,"(664.6, 208.5)",265,304,772.8,274.1,651.4,196.4
1742552877500,Mouse Click,Correct,Target clicked,,"(1269.0, 699.0)",0,0,625.8,203.0,1269.0,699.0
1742552878218,,,,End Trial,"(0.0, 0.0)",0,0,680.0,203.6,0.0,0.0
1742552879585,Mouse Click,Incorrect,Distractor clicked,,"(1269.0, 699.0)",0,0,663.1,173.0,1269.0,699.0
1742552880386,,,,End Trial,"(0.0, 0.0)",0,0,1147.1,198.5,0.0,0.0
1742552882067,PesticideMushroom,Disappear,Distractor,,"(658.2, 226.2)",214,255,688.1,186.1,644.0,139.1
1742552882585,,,,End Trial,"(0.0, 0.0)",0,0,1262.6,259.0,0.0,0.0
1742552882585,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,1262.6,259.0,0.0,0.0
1742552883586,,,,Init Trial,"(0.0, 0.0)",0,0,1270.7,260.9,0.0,0.0
1742552883586,PoisonousMushroom,Appear,Distractor,,"(1251.3, 224.3)",369,304,1270.7,260.9,1267.3,189.5
1742552888618,Mushroom,Disappear,Target,,"(1286.9, 206.6)",358,311,1316.2,215.4,1267.4,194.3
1742552890119,,,,Init Trial,"(0.0, 0.0)",0,0,830.3,219.3,0.0,0.0
1742552890119,PesticideMushroom,Appear,Distractor,,"(658.2, 226.2)",214,255,830.3,219.3,644.0,139.1
1742552890787,PesticideMushroom,Disappear,Distractor,,"(658.2, 226.2)",214,255,686.9,183.5,644.0,139.1
1742552891286,,,,End Trial,"(0.0, 0.0)",0,0,928.9,213.5,0.0,0.0
1742552891286,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,928.9,213.5,0.0,0.0
1742552892301,,,,Init Trial,"(0.0, 0.0)",0,0,1222.8,279.7,0.0,0.0
1742552892302,PesticideMushroom,Appear,Distractor,,"(1255.5, 224.8)",276,261,1222.8,279.7,1262.9,135.8
1742552892967,PesticideMushroom,Disappear,Distractor,,"(1255.5, 224.8)",276,261,1323.7,212.7,1262.9,135.8
1742552895651,,,,End Trial,"(0.0, 0.0)",0,0,1233.9,209.8,0.0,0.0
1742552895651,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,1233.9,209.8,0.0,0.0
1742552896651,,,,Init Trial,"(0.0, 0.0)",0,0,862.0,187.1,0.0,0.0
1742552896652,PoisonousMushroom,Appear,Distractor,,"(654.8, 225.8)",271,297,862.0,187.1,651.5,191.7
1742552897318,PoisonousMushroom,Disappear,Distractor,,"(654.8, 225.8)",271,297,664.2,183.5,651.5,191.7
1742552897834,,,,End Trial,"(0.0, 0.0)",0,0,792.2,200.0,0.0,0.0
1742552897834,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,792.2,200.0,0.0,0.0
1742552899317,Mouse Click,Correct,Target clicked,,"(1269.0, 699.0)",0,0,1299.8,190.0,1269.0,699.0
1742552899501,Mushroom,Disappear,Target,,"(1286.9, 206.6)",358,311,1302.6,200.9,1267.4,194.3
1742552900018,,,,End Trial,"(0.0, 0.0)",0,0,1307.1,210.6,0.0,0.0
1742552901019,,,,Init Trial,"(0.0, 0.0)",0,0,1326.4,315.3,0.0,0.0
1742552901020,PoisonousMushroom,Appear,Distractor,,"(654.8, 225.8)",271,297,1326.4,315.3,651.5,191.7
1742552901668,PoisonousMushroom,Disappear,Distractor,,"(654.8, 225.8)",271,297,683.6,181.7,651.5,191.7
1742552902186,,,,End Trial,"(0.0, 0.0)",0,0,1256.8,263.7,0.0,0.0
1742552902186,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,1256.8,263.7,0.0,0.0
1742552903201,,,,Init Trial,"(0.0, 0.0)",0,0,1249.3,280.2,0.0,0.0
1742552903202,PoisonousMushroom,Appear,Distractor,,"(1251.3, 224.3)",369,304,1249.3,280.2,1267.3,189.5
1742552906051,PesticideMushroom,Disappear,Distractor,,"(658.2, 226.2)",214,255,682.5,183.3,644.0,139.1
1742552906551,,,,End Trial,"(0.0, 0.0)",0,0,1337.6,201.9,0.0,0.0
1742552906551,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,1337.6,201.9,0.0,0.0
1742552907551,,,,Init Trial,"(0.0, 0.0)",0,0,1255.8,216.6,0.0,0.0
1742552907552,Mushroom,Appear,Distractor,,"(640.8, 225.2)",386,355,1255.8,216.6,651.9,126.8
1742552908202,Mushroom,Disappear,Distractor,,"(640.8, 225.2)",386,355,668.7,192.3,651.9,126.8
1742552908718,,,,End Trial,"(0.0, 0.0)",0,0,1095.5,188.7,0.0,0.0
1742552908718,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,1095.5,188.7,0.0,0.0
1742552909717,,,,Init Trial,"(0.0, 0.0)",0,0,1250.6,270.9,0.0,0.0
1742552909718,PoisonousMushroom,Appear,Distractor,,"(654.8, 225.8)",271,297,1250.6,270.9,651.5,191.7
1742552910886,,,,End Trial,"(0.0, 0.0)",0,0,1251.5,224.8,0.0,0.0
1742552910886,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,1251.5,224.8,0.0,0.0
1742552912535,PesticideMushroom,Disappear,Distractor,,"(1255.5, 224.8)",276,261,1302.1,194.8,1262.9,135.8
1742552913051,,,,End Trial,"(0.0, 0.0)",0,0,1287.1,183.4,0.0,0.0
1742552913052,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,1287.1,183.4,0.0,0.0
1742552914052,,,,Init Trial,"(0.0, 0.0)",0,0,702.2,172.3,0.0,0.0
1742552914052,Mushroom,Appear,Distractor,,"(640.8, 225.2)",386,355,702.2,172.3,651.9,126.8
1742552914718,Mushroom,Disappear,Distractor,,"(640.8, 225.2)",386,355,665.9,187.6,651.9,126.8
1742552915218,,,,End Trial,"(0.0, 0.0)",0,0,1225.1,168.1,0.0,0.0
1742552915218,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,1225.1,168.1,0.0,0.0
1742552916217,,,,Init Trial,"(0.0, 0.0)",0,0,1247.1,253.8,0.0,0.0
1742552916238,PoisonousMushroom,Appear,Distractor,,"(654.8, 225.8)",271,297,1247.8,250.8,651.5,191.7
1742552916884,PoisonousMushroom,Disappear,Distractor,,"(654.8, 225.8)",271,297,673.0,190.8,651.5,191.7
1742552917384,,,,End Trial,"(0.0, 0.0)",0,0,807.7,212.6,0.0,0.0
1742552917384,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,807.7,212.6,0.0,0.0
1742552918401,,,,Init Trial,"(0.0, 0.0)",0,0,1245.1,209.6,0.0,0.0
1742552918401,Mushroom,Appear,Distractor,,"(640.8, 225.2)",386,355,1245.1,209.6,651.9,126.8
1742552919568,,,,End Trial,"(0.0, 0.0)",0,0,1219.1,188.7,0.0,0.0
1742552919568,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,1219.1,188.7,0.0,0.0
1742552921034,Mouse Click,Correct,Target clicked,,"(1269.0, 699.0)",0,0,1314.0,208.8,1269.0,699.0
1742552921734,,,,End Trial,"(0.0, 0.0)",0,0,1250.1,232.5,0.0,0.0
1742552922751,,,,Init Trial,"(0.0, 0.0)",0,0,1215.0,255.2,0.0,0.0
1742552922751,PoisonousMushroom,Appear,Distractor,,"(654.8, 225.8)",271,297,1215.0,255.2,651.5,191.7
1742552923402,PoisonousMushroom,Disappear,Distractor,,"(654.8, 225.8)",271,297,702.2,170.4,651.5,191.7
1742552923919,,,,End Trial,"(0.0, 0.0)",0,0,795.1,180.7,0.0,0.0
1742552923919,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,795.1,180.7,0.0,0.0
1742552924919,,,,Init Trial,"(0.0, 0.0)",0,0,795.0,191.8,0.0,0.0
1742552924919,Mushroom,Appear,Distractor,,"(640.8, 225.2)",386,355,795.0,191.8,651.9,126.8
1742552925567,Mushroom,Disappear,Distractor,,"(640.8, 225.2)",386,355,671.0,175.8,651.9,126.8
1742552926085,,,,End Trial,"(0.0, 0.0)",0,0,1280.9,258.5,0.0,0.0
1742552926085,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,1280.9,258.5,0.0,0.0
1742552927085,,,,Init Trial,"(0.0, 0.0)",0,0,1245.5,183.9,0.0,0.0
1742552927085,PesticideMushroom,Appear,Distractor,,"(658.2, 226.2)",214,255,1245.5,183.9,644.0,139.1
1742552927734,PesticideMushroom,Disappear,Distractor,,"(658.2, 226.2)",214,255,702.4,180.3,644.0,139.1
1742552928251,,,,End Trial,"(0.0, 0.0)",0,0,850.6,179.0,0.0,0.0
1742552928252,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,850.6,179.0,0.0,0.0
1742552929268,,,,Init Trial,"(0.0, 0.0)",0,0,787.6,194.7,0.0,0.0
1742552929269,Mushroom,Appear,Target,,"(664.6, 208.5)",265,304,787.6,194.7,651.4,196.4
