Timestamp,ObjectName,ObjectState,Label,Aux Message,AOI_Origin,AOI_Width,AOI_Height,EyeTracker-x,EyeTracker-y,obj_x,obj_y
1733824449262,,,,Game Starts,"(0.0, 0.0)",0,0,0.0,0.0,0.0,0.0
1733824450778,,,,Init Trial,"(0.0, 0.0)",0,0,848.4,222.2,0.0,0.0
1733824450778,PoisonousMushroom,Appear,Distractor,,"(1251.3, 224.3)",369,304,848.4,222.2,1267.3,189.5
1733824451429,PoisonousMushroom,Disappear,Distractor,,"(1251.3, 224.3)",369,304,1273.8,229.9,1267.3,189.5
1733824451545,Mouse Click,Incorrect,Distractor clicked,,"(1075.0, 178.0)",0,0,1282.9,224.8,1075.0,178.0
1733824451945,,,,End Trial,"(0.0, 0.0)",0,0,998.3,633.0,0.0,0.0
1733824452962,,,,Init Trial,"(0.0, 0.0)",0,0,1045.1,244.2,0.0,0.0
1733824452963,PesticideMushroom,Appear,Distractor,,"(658.2, 226.2)",214,255,1045.1,244.2,644.0,139.1
1733824453628,PesticideMushroom,Disappear,Distractor,,"(658.2, 226.2)",214,255,640.6,268.9,644.0,139.1
1733824454144,,,,End Trial,"(0.0, 0.0)",0,0,736.6,529.0,0.0,0.0
1733824454144,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,736.6,529.0,0.0,0.0
1733824455162,,,,Init Trial,"(0.0, 0.0)",0,0,1089.5,320.4,0.0,0.0
1733824455164,Mushroom,Appear,Distractor,,"(640.8, 225.2)",386,355,1089.5,320.4,651.9,126.8
1733824455829,Mushroom,Disappear,Distractor,,"(640.8, 225.2)",386,355,637.8,232.4,651.9,126.8
1733824455895,Mouse Click,Incorrect,Distractor clicked,,"(1075.0, 178.0)",0,0,631.4,235.9,1075.0,178.0
1733824456345,,,,End Trial,"(0.0, 0.0)",0,0,640.1,232.9,0.0,0.0
1733824457363,,,,Init Trial,"(0.0, 0.0)",0,0,1082.5,318.3,0.0,0.0
