Timestamp,ObjectName,ObjectState,Label,Aux Message,AOI_Origin,AOI_Width,AOI_Height,EyeTracker-x,EyeTracker-y,obj_x,obj_y
1742895461135,,,,Game Starts,"(0.0, 0.0)",0,0,0.0,0.0,0.0,0.0
1742895463150,,,,Init Trial,"(0.0, 0.0)",0,0,1155.3,606.9,0.0,0.0
1742895463152,Trunk,Appear,Distractor,,"(1279.5, 165.9)",598,322,1155.3,606.9,1276.7,140.9
1742895463867,Trunk,Disappear,Distractor,,"(1279.5, 165.9)",598,322,1298.3,137.7,1276.7,140.9
1742895464885,,,,End Trial,"(0.0, 0.0)",0,0,984.7,569.1,0.0,0.0
1742895464885,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,984.7,569.1,0.0,0.0
1742895465901,,,,Init Trial,"(0.0, 0.0)",0,0,917.5,670.1,0.0,0.0
1742895465901,Mushroom,Appear,Target,,"(664.6, 208.5)",265,304,917.5,670.1,651.4,196.4
1742895466535,Mouse Click,Correct,Target clicked,,"(939.0, 172.0)",0,0,675.7,202.8,939.0,172.0
1742895466618,Mushroom,Disappear,Target,,"(664.6, 208.5)",265,304,677.0,201.2,651.4,196.4
1742895467633,,,,End Trial,"(0.0, 0.0)",0,0,655.0,1008.7,0.0,0.0
1742895468651,,,,Init Trial,"(0.0, 0.0)",0,0,913.4,484.7,0.0,0.0
1742895468651,Stone,Appear,Distractor,,"(1225.4, 168.5)",392,235,913.4,484.7,1261.5,156.3
1742895469367,Stone,Disappear,Distractor,,"(1225.4, 168.5)",392,235,1270.4,130.6,1261.5,156.3
1742895470385,,,,End Trial,"(0.0, 0.0)",0,0,913.1,851.0,0.0,0.0
1742895470385,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,913.1,851.0,0.0,0.0
1742895471400,,,,Init Trial,"(0.0, 0.0)",0,0,611.4,1029.5,0.0,0.0
1742895471402,SecondButterfly,Appear,Distractor,,"(654.5, 191.1)",238,278,611.4,1029.5,650.0,143.6
1742895472117,SecondButterfly,Disappear,Distractor,,"(654.5, 191.1)",238,278,635.5,140.0,650.0,143.6
1742895473133,,,,End Trial,"(0.0, 0.0)",0,0,1419.1,-1.3,0.0,0.0
1742895473133,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,1419.1,-1.3,0.0,0.0
1742895474150,,,,Init Trial,"(0.0, 0.0)",0,0,592.7,1025.1,0.0,0.0
1742895474151,FirstButterfly,Appear,Distractor,,"(1242.8, 194.1)",500,402,592.7,1025.1,1267.0,135.5
1742895474865,FirstButterfly,Disappear,Distractor,,"(1242.8, 194.1)",500,402,1279.1,177.2,1267.0,135.5
1742895475884,,,,End Trial,"(0.0, 0.0)",0,0,1000.8,36.2,0.0,0.0
1742895475884,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,1000.8,36.2,0.0,0.0
1742895476902,,,,Init Trial,"(0.0, 0.0)",0,0,999.4,-53.8,0.0,0.0
1742895476902,Mushroom,Appear,Target,,"(664.6, 208.5)",265,304,1001.5,-53.1,651.4,196.4
1742895477584,Mouse Click,Correct,Target clicked,,"(939.0, 172.0)",0,0,660.3,213.1,939.0,172.0
1742895477617,Mushroom,Disappear,Target,,"(664.6, 208.5)",265,304,672.1,206.0,651.4,196.4
1742895478634,,,,End Trial,"(0.0, 0.0)",0,0,1067.3,11.4,0.0,0.0
1742895479651,,,,Init Trial,"(0.0, 0.0)",0,0,880.2,386.3,0.0,0.0
1742895479651,Branch,Appear,Distractor,,"(1248.6, 177.0)",658,374,970.4,480.8,1267.0,140.2
1742895480367,Branch,Disappear,Distractor,,"(1248.6, 177.0)",658,374,1305.7,228.6,1267.0,140.2
1742895482399,,,,Init Trial,"(0.0, 0.0)",0,0,861.2,244.1,0.0,0.0
1742895482399,Trunk,Appear,Distractor,,"(675.1, 168.6)",432,313,861.2,244.1,665.1,144.0
1742895483119,Trunk,Disappear,Distractor,,"(675.1, 168.6)",432,313,656.9,379.8,665.1,144.0
1742895484133,,,,End Trial,"(0.0, 0.0)",0,0,804.3,-76.9,0.0,0.0
1742895484134,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,804.3,-76.9,0.0,0.0
1742895485150,,,,Init Trial,"(0.0, 0.0)",0,0,749.3,451.7,0.0,0.0
1742895485150,Branch,Appear,Distractor,,"(1248.6, 177.0)",658,374,749.3,451.7,1267.0,140.2
1742895485866,Branch,Disappear,Distractor,,"(1248.6, 177.0)",658,374,1360.9,61.5,1267.0,140.2
