Timestamp,ObjectName,ObjectState,Label,Aux Message,AOI_Origin,AOI_Width,AOI_Height,EyeTracker-x,EyeTracker-y,obj_x,obj_y
1734079034600,,,,Init Trial,"(0.0, 0.0)",0,0,772.4,279.5,0.0,0.0
1734079034601,BlueFlowers,Appear,Distractor,,"(678.2, 245.9)",388,406,772.4,279.5,651.9,133.4
1734079035351,BlueFlowers,Disappear,Distractor,,"(678.2, 245.9)",388,406,674.8,255.8,651.9,133.4
1734079038633,Mushroom,Disappear,Target,,"(664.6, 208.5)",265,304,645.9,204.6,651.4,196.4
1734079041167,,,,Init Trial,"(0.0, 0.0)",0,0,875.9,245.6,0.0,0.0
1734079041167,Mushroom,Appear,Target,,"(664.6, 208.5)",265,304,875.9,245.6,651.4,196.4
1734079043934,,,,End Trial,"(0.0, 0.0)",0,0,824.1,375.1,0.0,0.0
1734079044450,,,,Init Trial,"(0.0, 0.0)",0,0,599.9,689.0,0.0,0.0
1734079044450,BlueFlowers,Appear,Distractor,,"(1292.4, 244.7)",495,416,599.9,689.0,1266.9,130.0
1734079045200,BlueFlowers,Disappear,Distractor,,"(1292.4, 244.7)",495,416,1012.4,246.7,1266.9,130.0
1734079047217,,,,End Trial,"(0.0, 0.0)",0,0,684.1,366.8,0.0,0.0
1734079047217,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,684.1,366.8,0.0,0.0
1734079057050,,,,End Trial,"(0.0, 0.0)",0,0,828.9,344.5,0.0,0.0
1734079057050,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,828.9,344.5,0.0,0.0
1734079064866,YellowPurpleFlowers,Disappear,Distractor,,"(657.2, 265.7)",408,416,658.0,249.1,651.9,131.2
1734079064883,Mouse Click,Neutral,,,"(969.0, 173.0)",0,0,650.7,242.0,969.0,173.0
1734079070167,,,,End Trial,"(0.0, 0.0)",0,0,725.3,285.9,0.0,0.0
1734079070167,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,725.3,285.9,0.0,0.0
1734079073450,,,,End Trial,"(0.0, 0.0)",0,0,652.9,723.7,0.0,0.0
1734079074683,Mouse Click,Incorrect,Distractor clicked,,"(969.0, 173.0)",0,0,1038.2,265.0,969.0,173.0
1734079074734,YellowPurpleFlowers,Disappear,Distractor,,"(1253.7, 264.9)",527,425,954.1,221.4,1266.9,127.8
1734079076750,,,,End Trial,"(0.0, 0.0)",0,0,379.9,-404.5,0.0,0.0
1734079077250,,,,Init Trial,"(0.0, 0.0)",0,0,795.9,579.1,0.0,0.0
1734079077250,BlueFlowers,Appear,Distractor,,"(1292.4, 244.7)",495,416,795.9,579.1,1266.9,130.0
1734079083817,,,,Init Trial,"(0.0, 0.0)",0,0,646.1,700.8,0.0,0.0
1734079083818,YellowPurpleFlowers,Appear,Distractor,,"(657.2, 265.7)",408,416,646.1,700.8,651.9,131.2
1734079086600,,,,End Trial,"(0.0, 0.0)",0,0,554.1,394.0,0.0,0.0
1734079090385,,,,Init Trial,"(0.0, 0.0)",0,0,991.1,177.5,0.0,0.0
1734079090386,YellowPurpleFlowers,Appear,Distractor,,"(1253.7, 264.9)",527,425,991.1,177.5,1266.9,127.8
1734079093166,,,,End Trial,"(0.0, 0.0)",0,0,684.0,296.6,0.0,0.0
1734079094099,Mouse Click,Incorrect,Distractor clicked,,"(969.0, 173.0)",0,0,656.7,270.8,969.0,173.0
1734079094450,BlueFlowers,Disappear,Distractor,,"(678.2, 245.9)",388,406,645.9,226.7,651.9,133.4
1734079100899,Mouse Click,Correct,Target clicked,,"(969.0, 173.0)",0,0,627.0,240.0,969.0,173.0
1734079101050,Mushroom,Disappear,Target,,"(664.6, 208.5)",265,304,633.9,234.8,651.4,196.4
1734079106333,,,,End Trial,"(0.0, 0.0)",0,0,768.6,535.5,0.0,0.0
1734079106834,,,,Init Trial,"(0.0, 0.0)",0,0,956.6,241.5,0.0,0.0
1734079106834,BlueFlowers,Appear,Distractor,,"(678.2, 245.9)",388,406,956.6,241.5,651.9,133.4
1734079112900,,,,End Trial,"(0.0, 0.0)",0,0,904.5,343.6,0.0,0.0
1734079113416,,,,Init Trial,"(0.0, 0.0)",0,0,764.8,654.9,0.0,0.0
1734079113417,BlueFlowers,Appear,Distractor,,"(1292.4, 244.7)",495,416,764.8,654.9,1266.9,130.0
1734079114184,BlueFlowers,Disappear,Distractor,,"(1292.4, 244.7)",495,416,1063.6,260.7,1266.9,130.0
1734079116199,,,,End Trial,"(0.0, 0.0)",0,0,763.0,328.0,0.0,0.0
1734079116199,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,763.0,328.0,0.0,0.0
1734079116699,,,,Init Trial,"(0.0, 0.0)",0,0,965.0,307.1,0.0,0.0
1734079116700,Mushroom,Appear,Target,,"(1286.9, 206.6)",358,311,965.0,307.1,1267.4,194.3
1734079117182,Mouse Click,Correct,Target clicked,,"(969.0, 173.0)",0,0,1057.5,234.4,969.0,173.0
1734079117466,Mushroom,Disappear,Target,,"(1286.9, 206.6)",358,311,1042.0,224.9,1267.4,194.3
1734079117498,Mouse Click,Neutral,,,"(969.0, 173.0)",0,0,1051.5,230.1,969.0,173.0
1734079120000,,,,Init Trial,"(0.0, 0.0)",0,0,948.4,287.5,0.0,0.0
