Timestamp;EyeTracker;ObjectName;ObjectState;Label;GameObjectPos (Screen Coordinates);Aux Message;AOI_Origin;AOI_Width;AOI_Height
1733823843855;(0.0, 0.0);;;;(0.0, 0.0);Game Starts;(0.0, 0.0);0;0
1733823857320;(0.0, 0.0);Mouse Click;Neutral;;(1707.0, 687.0);;(1707.0, 687.0);0;0
1733823885561;(0.0, 0.0);Mouse Click;Neutral;;(971.0, 173.0);;(971.0, 173.0);0;0
1733823888163;(1007.2, 1122.7);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823888165;(1007.2, 1122.7);YellowPurpleFlowers;Appear;Distractor;(1266.9, 127.8);;(1253.7, 264.9);527;425
1733823888912;(1459.9, 209.3);YellowPurpleFlowers;Disappear;Distractor;(1266.9, 127.8);;(1253.7, 264.9);527;425
1733823890912;(1244.0, 212.6);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823890912;(1244.0, 212.6);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823891428;(1352.6, 156.3);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823891428;(1352.6, 156.3);Mushroom;Appear;Target;(1267.4, 194.3);;(1286.9, 206.6);358;311
1733823891895;(1435.6, 145.5);Mouse Click;Correct;Target clicked;(971.0, 173.0);;(971.0, 173.0);0;0
1733823892195;(1422.8, 141.5);Mushroom;Disappear;Target;(1267.4, 194.3);;(1286.9, 206.6);358;311
1733823894212;(1196.2, 172.5);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823894729;(1405.3, 148.2);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823894729;(1405.3, 148.2);BlueFlowers;Appear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823895495;(735.0, 214.5);BlueFlowers;Disappear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823897495;(1321.9, 191.5);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823897495;(1321.9, 191.5);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823897995;(1183.8, 252.7);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823897995;(1183.8, 252.7);YellowPurpleFlowers;Appear;Distractor;(651.9, 131.2);;(657.2, 265.7);408;416
