Timestamp,ObjectName,ObjectState,Label,Aux Message,AOI_Origin,AOI_Width,AOI_Height,EyeTracker-x,EyeTracker-y,obj_x,obj_y
1742895447509,,,,Game Starts,"(0.0, 0.0)",0,0,0.0,0.0,0.0,0.0
1742895449007,,,,Init Trial,"(0.0, 0.0)",0,0,828.6,1113.6,0.0,0.0
1742895449008,Mushroom,Appear,Target,,"(664.6, 208.5)",265,304,828.6,1113.6,651.4,196.4
1742895449674,Mushroom,Disappear,Target,,"(664.6, 208.5)",265,304,533.2,266.6,651.4,196.4
1742895449991,Mouse Click,Correct,Target clicked,,"(934.0, 146.0)",0,0,566.9,240.1,934.0,146.0
1742895450191,,,,End Trial,"(0.0, 0.0)",0,0,535.8,217.9,0.0,0.0
1742895451190,,,,Init Trial,"(0.0, 0.0)",0,0,571.2,374.2,0.0,0.0
1742895451191,Mushroom,Appear,Distractor,,"(640.8, 225.2)",386,355,571.2,374.2,651.9,126.8
1742895451691,Mouse Click,Incorrect,Distractor clicked,,"(934.0, 146.0)",0,0,579.5,200.2,934.0,146.0
1742895451858,Mushroom,Disappear,Distractor,,"(640.8, 225.2)",386,355,584.3,189.8,651.9,126.8
1742895452357,,,,End Trial,"(0.0, 0.0)",0,0,536.2,576.1,0.0,0.0
1742895453374,,,,Init Trial,"(0.0, 0.0)",0,0,570.9,337.8,0.0,0.0
1742895453374,Mushroom,Appear,Target,,"(1286.9, 206.6)",358,311,570.9,337.8,1267.4,194.3
1742895454025,Mouse Click,Correct,Target clicked,,"(934.0, 146.0)",0,0,1261.1,197.3,934.0,146.0
1742895454041,Mushroom,Disappear,Target,,"(1286.9, 206.6)",358,311,1256.5,186.9,1267.4,194.3
1742895454541,,,,End Trial,"(0.0, 0.0)",0,0,700.7,322.1,0.0,0.0
1742895455542,,,,Init Trial,"(0.0, 0.0)",0,0,642.3,371.3,0.0,0.0
1742895455542,Mushroom,Appear,Distractor,,"(640.8, 225.2)",386,355,642.3,371.3,651.9,126.8
1742895456191,Mushroom,Disappear,Distractor,,"(640.8, 225.2)",386,355,552.4,201.6,651.9,126.8
1742895457724,,,,Init Trial,"(0.0, 0.0)",0,0,616.1,373.3,0.0,0.0
1742895457725,Mushroom,Appear,Target,,"(1286.9, 206.6)",358,311,616.1,373.3,1267.4,194.3
1742895458324,Mouse Click,Correct,Target clicked,,"(934.0, 146.0)",0,0,1275.3,229.6,934.0,146.0
1742895458392,Mushroom,Disappear,Target,,"(1286.9, 206.6)",358,311,1273.6,201.8,1267.4,194.3
1742895459908,,,,Init Trial,"(0.0, 0.0)",0,0,798.6,274.9,0.0,0.0
1742895459908,Mushroom,Appear,Target,,"(1286.9, 206.6)",358,311,798.6,274.9,1267.4,194.3
1742895460392,Mouse Click,Correct,Target clicked,,"(934.0, 146.0)",0,0,1286.0,236.3,934.0,146.0
1742895460557,Mushroom,Disappear,Target,,"(1286.9, 206.6)",358,311,1297.4,225.3,1267.4,194.3
1742895461074,,,,End Trial,"(0.0, 0.0)",0,0,682.6,363.3,0.0,0.0
1742895462074,,,,Init Trial,"(0.0, 0.0)",0,0,532.2,359.6,0.0,0.0
1742895462075,PesticideMushroom,Appear,Distractor,,"(1255.5, 224.8)",276,261,532.2,359.6,1262.9,135.8
1742895462743,PesticideMushroom,Disappear,Distractor,,"(1255.5, 224.8)",276,261,1281.6,211.2,1262.9,135.8
1742895463243,,,,End Trial,"(0.0, 0.0)",0,0,637.8,289.0,0.0,0.0
1742895463243,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,637.8,289.0,0.0,0.0
1742895464241,,,,Init Trial,"(0.0, 0.0)",0,0,550.2,225.6,0.0,0.0
1742895464241,Mushroom,Appear,Distractor,,"(640.8, 225.2)",386,355,550.2,225.6,651.9,126.8
1742895464808,Mouse Click,Incorrect,Distractor clicked,,"(934.0, 146.0)",0,0,571.4,226.3,934.0,146.0
1742895464891,Mushroom,Disappear,Distractor,,"(640.8, 225.2)",386,355,583.5,205.4,651.9,126.8
1742895465391,,,,End Trial,"(0.0, 0.0)",0,0,638.2,376.2,0.0,0.0
1742895466407,,,,Init Trial,"(0.0, 0.0)",0,0,569.4,379.2,0.0,0.0
1742895466408,PesticideMushroom,Appear,Distractor,,"(1255.5, 224.8)",276,261,569.4,379.2,1262.9,135.8
1742895467058,PesticideMushroom,Disappear,Distractor,,"(1255.5, 224.8)",276,261,1265.9,220.1,1262.9,135.8
1742895467574,,,,End Trial,"(0.0, 0.0)",0,0,655.6,401.2,0.0,0.0
1742895467574,Answer,Correct,Distractor not clicked,,"(0.0, 0.0)",0,0,655.6,401.2,0.0,0.0
1742895468590,,,,Init Trial,"(0.0, 0.0)",0,0,593.7,288.7,0.0,0.0
